ID,Name,中文名称,日本語名
1,Bulbasaur,妙蛙种子,フシギダネ
2,Ivysaur,妙蛙草,フシギソウ
3,Venusaur,妙蛙花,フシギバナ
4,Charmander,小火龙,ヒトカゲ
5,Charmeleon,火恐龙,リザード
6,Charizard,喷火龙,リザードン
7,Squirtle,杰尼龟,ゼニガメ
8,Wartortle,卡咪龟,カメール
9,Blastoise,水箭龟,カメックス
10,Caterpie,绿毛虫,キャタピー
11,Metapod,铁甲蛹,トランセル
12,Butterfree,巴大蝶,バタフリー
13,Weedle,独角虫,ビードル
14,Kakuna,铁壳蛹,コクーン
15,Beedrill,大针蜂,スピアー
16,Pidgey,波波,ポッポ
17,Pidgeotto,比比鸟,ピジョン
18,Pidgeot,大比鸟,ピジョット
19,Rattata,小拉达,コラッタ
20,Raticate,拉达,ラッタ
21,Spearow,烈雀,オニスズメ
22,Fearow,大嘴雀,オニドリル
23,Ekans,阿柏蛇,アーボ
24,Arbok,阿柏怪,アーボック
25,Pikachu,皮卡丘,ピカチュウ
26,Raichu,雷丘,ライチュウ
27,Sandshrew,穿山鼠,サンド
28,Sandslash,穿山王,サンドパン
29,Nidoran♀,尼多兰,ニドラン♀
30,Nidorina,尼多娜,ニドリーナ
31,Nidoqueen,尼多后,ニドクイン
32,Nidoran♂,尼多朗,ニドラン♂
33,Nidorino,尼多力诺,ニドリーノ
34,Nidoking,尼多王,ニドキング
35,Clefairy,皮皮,ピッピ
36,Clefable,皮可西,ピクシー
37,Vulpix,六尾,ロコン
38,Ninetales,九尾,キュウコン
39,Jigglypuff,胖丁,プリン
40,Wigglytuff,胖可丁,プクリン
41,Zubat,超音蝠,ズバット
42,Golbat,大嘴蝠,ゴルバット
43,Oddish,走路草,ナゾノクサ
44,Gloom,臭臭花,クサイハナ
45,Vileplume,霸王花,ラフレシア
46,Paras,派拉斯,パラス
47,Parasect,派拉斯特,パラセクト
48,Venonat,毛球,コンパン
49,Venomoth,摩鲁蛾,モルフォン
50,Diglett,地鼠,ディグダ
51,Dugtrio,三地鼠,ダグトリオ
52,Meowth,喵喵,ニャース
53,Persian,猫老大,ペルシアン
54,Psyduck,可达鸭,コダック
55,Golduck,哥达鸭,ゴルダック
56,Mankey,猴怪,マンキー
57,Primeape,火爆猴,オコリザル
58,Growlithe,卡蒂狗,ガーディ
59,Arcanine,风速狗,ウインディ
60,Poliwag,蚊香蝌蚪,ニョロモ
61,Poliwhirl,蚊香君,ニョロゾ
62,Poliwrath,蚊香泳士,ニョロボン
63,Abra,凯西,ケーシィ
64,Kadabra,勇基拉,ユンゲラー
65,Alakazam,胡地,フーディン
66,Machop,腕力,ワンリキー
67,Machoke,豪力,ゴーリキー
68,Machamp,怪力,カイリキー
69,Bellsprout,喇叭芽,マダツボミ
70,Weepinbell,口呆花,ウツドン
71,Victreebel,大食花,ウツボット
72,Tentacool,玛瑙水母,メノクラゲ
73,Tentacruel,毒刺水母,ドククラゲ
74,Geodude,小拳石,イシツブテ
75,Graveler,隆隆石,ゴローン
76,Golem,隆隆岩,ゴローニャ
77,Ponyta,小火马,ポニータ
78,Rapidash,烈焰马,ギャロップ
79,Slowpoke,呆呆兽,ヤドン
80,Slowbro,呆壳兽,ヤドラン
81,Magnemite,小磁怪,コイル
82,Magneton,三合一磁怪,レアコイル
83,Farfetch'd,大葱鸭,カモネギ
84,Doduo,嘟嘟,ドードー
85,Dodrio,嘟嘟利,ドードリオ
86,Seel,小海狮,パウワウ
87,Dewgong,白海狮,ジュゴン
88,Grimer,臭泥,ベトベター
89,Muk,臭臭泥,ベトベトン
90,Shellder,大舌贝,シェルダー
91,Cloyster,刺甲贝,パルシェン
92,Gastly,鬼斯,ゴース
93,Haunter,鬼斯通,ゴースト
94,Gengar,耿鬼,ゲンガー
95,Onix,大岩蛇,イワーク
96,Drowzee,催眠貘,スリープ
97,Hypno,引梦貘人,スリーパー
98,Krabby,大钳蟹,クラブ
99,Kingler,巨钳蟹,キングラー
100,Voltorb,霹雳电球,ビリリダマ
101,Electrode,顽皮雷弹,マルマイン
102,Exeggcute,蛋蛋,タマタマ
