ID,Name,Quick Move,Cinematic Move
1,BULBASAUR,VINE_WHIP_FAST,SLUDGE_BOMB
1,BULBASAUR,VINE_WHIP_FAST,SEED_BOMB
1,BULBASAUR,VINE_WHIP_FAST,POWER_WHIP
1,BULBASAUR,TACKLE_FAST,SLUDGE_BOMB
1,BULBASAUR,TACKLE_FAST,SEED_BOMB
1,BULBASAUR,TACKLE_FAST,POWER_WHIP
2,IVYSAUR,RAZOR_LEAF_FAST,SLUDGE_BOMB
2,IVYSAUR,RAZOR_LEAF_FAST,SOLAR_BEAM
2,IVYSAUR,RAZOR_LEAF_FAST,POWER_WHIP
2,IVYSAUR,VINE_WHIP_FAST,SLUDGE_BOMB
2,IVYSAUR,VINE_WHIP_FAST,SOLAR_BEAM
2,IVYSAUR,VINE_WHIP_FAST,POWER_WHIP
3,VENUSAUR,RAZOR_LEAF_FAST,SLUDGE_BOMB
3,VENUSAUR,RAZOR_LEAF_FAST,PETAL_BLIZZARD
3,VENUSAUR,RAZOR_LEAF_FAST,SOLAR_BEAM
3,VENUSAUR,VINE_WHIP_FAST,SLUDGE_BOMB
3,VENUSAUR,VINE_WHIP_FAST,PETAL_BLIZZARD
3,VENUSAUR,VINE_WHIP_FAST,SOLAR_BEAM
4,CHARMANDER,EMBER_FAST,FLAME_CHARGE
4,CHARMANDER,EMBER_FAST,FLAME_BURST
4,CHARMANDER,EMBER_FAST,FLAMETHROWER
4,CHARMANDER,SCRATCH_FAST,FLAME_CHARGE
4,CHARMANDER,SCRATCH_FAST,FLAME_BURST
4,CHARMANDER,SCRATCH_FAST,FLAMETHROWER
5,CHARMELEON,EMBER_FAST,FIRE_PUNCH
5,CHARMELEON,EMBER_FAST,FLAME_BURST
5,CHARMELEON,EMBER_FAST,FLAMETHROWER
5,CHARMELEON,FIRE_FANG_FAST,FIRE_PUNCH
5,CHARMELEON,FIRE_FANG_FAST,FLAME_BURST
5,CHARMELEON,FIRE_FANG_FAST,FLAMETHROWER
6,CHARIZARD,FIRE_SPIN_FAST,FIRE_BLAST
6,CHARIZARD,FIRE_SPIN_FAST,DRAGON_CLAW
6,CHARIZARD,FIRE_SPIN_FAST,OVERHEAT
6,CHARIZARD,AIR_SLASH_FAST,FIRE_BLAST
6,CHARIZARD,AIR_SLASH_FAST,DRAGON_CLAW
6,CHARIZARD,AIR_SLASH_FAST,OVERHEAT
7,SQUIRTLE,BUBBLE_FAST,AQUA_JET
7,SQUIRTLE,BUBBLE_FAST,AQUA_TAIL
7,SQUIRTLE,BUBBLE_FAST,WATER_PULSE
7,SQUIRTLE,TACKLE_FAST,AQUA_JET
7,SQUIRTLE,TACKLE_FAST,AQUA_TAIL
7,SQUIRTLE,TACKLE_FAST,WATER_PULSE
8,WARTORTLE,WATER_GUN_FAST,AQUA_JET
8,WARTORTLE,WATER_GUN_FAST,ICE_BEAM
8,WARTORTLE,WATER_GUN_FAST,HYDRO_PUMP
8,WARTORTLE,BITE_FAST,AQUA_JET
8,WARTORTLE,BITE_FAST,ICE_BEAM
8,WARTORTLE,BITE_FAST,HYDRO_PUMP
9,BLASTOISE,WATER_GUN_FAST,FLASH_CANNON
9,BLASTOISE,WATER_GUN_FAST,ICE_BEAM
9,BLASTOISE,WATER_GUN_FAST,HYDRO_PUMP
9,BLASTOISE,WATER_GUN_FAST,SKULL_BASH
9,BLASTOISE,BITE_FAST,FLASH_CANNON
9,BLASTOISE,BITE_FAST,ICE_BEAM
9,BLASTOISE,BITE_FAST,HYDRO_PUMP
9,BLASTOISE,BITE_FAST,SKULL_BASH
10,CATERPIE,BUG_BITE_FAST,STRUGGLE
10,CATERPIE,TACKLE_FAST,STRUGGLE
11,METAPOD,BUG_BITE_FAST,STRUGGLE
11,METAPOD,TACKLE_FAST,STRUGGLE
12,BUTTERFREE,STRUGGLE_BUG_FAST,BUG_BUZZ
12,BUTTERFREE,STRUGGLE_BUG_FAST,PSYCHIC
12,BUTTERFREE,STRUGGLE_BUG_FAST,SIGNAL_BEAM
12,BUTTERFREE,CONFUSION_FAST,BUG_BUZZ
12,BUTTERFREE,CONFUSION_FAST,PSYCHIC
12,BUTTERFREE,CONFUSION_FAST,SIGNAL_BEAM
13,WEEDLE,BUG_BITE_FAST,STRUGGLE
13,WEEDLE,POISON_STING_FAST,STRUGGLE
14,KAKUNA,BUG_BITE_FAST,STRUGGLE
14,KAKUNA,POISON_STING_FAST,STRUGGLE
15,BEEDRILL,INFESTATION_FAST,SLUDGE_BOMB
15,BEEDRILL,INFESTATION_FAST,AERIAL_ACE
15,BEEDRILL,INFESTATION_FAST,X_SCISSOR
15,BEEDRILL,INFESTATION_FAST,FELL_STINGER
15,BEEDRILL,POISON_JAB_FAST,SLUDGE_BOMB
15,BEEDRILL,POISON_JAB_FAST,AERIAL_ACE
15,BEEDRILL,POISON_JAB_FAST,X_SCISSOR
15,BEEDRILL,POISON_JAB_FAST,FELL_STINGER
16,PIDGEY,QUICK_ATTACK_FAST,TWISTER
16,PIDGEY,QUICK_ATTACK_FAST,AERIAL_ACE
16,PIDGEY,QUICK_ATTACK_FAST,AIR_CUTTER
16,PIDGEY,TACKLE_FAST,TWISTER
16,PIDGEY,TACKLE_FAST,AERIAL_ACE
16,PIDGEY,TACKLE_FAST,AIR_CUTTER
17,PIDGEOTTO,WING_ATTACK_FAST,TWISTER
17,PIDGEOTTO,WING_ATTACK_FAST,AERIAL_ACE
17,PIDGEOTTO,WING_ATTACK_FAST,AIR_CUTTER
17,PIDGEOTTO,STEEL_WING_FAST,TWISTER
17,PIDGEOTTO,STEEL_WING_FAST,AERIAL_ACE
17,PIDGEOTTO,STEEL_WING_FAST,AIR_CUTTER
18,PIDGEOT,AIR_SLASH_FAST,HURRICANE
